Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
namastey-london,37,31,U,23-Mar-07,136,Vipul Amrutlal Shah,Bharat S Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor,Comedy,Drama,Romance
hum-tum,21,8,U,28-May-04,142,Kunal Kohli,Kunal Kohli,Rani Mukerji,Saif Ali Khan,Rishi Kapoor,Comedy,Drama,Romance
dream-girl4,139,36,U/A,13-Sep-19,133,Raaj Shaandilyaa,Aashish Singh,Ayushmann Khurrana,Riteish Deshmukh,Nushrat Bharucha,Comedy,Romance,Drama
d-day-i,40,28,U/A,19-Jul-13,154,Nikhil Advani,Madhu Bhojwani,Arjun Rampal,Irrfan Khan,Rishi Kapoor,Action,Adventure,Crime
bareilly-ki-barfi,34,20,U/A,18-Aug-17,122,Ashwini Iyer Tiwari,Vineet Jain,Kriti Sanon,Ayushmann Khurrana,Rajkummar Rao,Comedy,Romance,Drama
poorna,3,3,U,31-Mar-17,100,Rahul Bose,Rahul Bose,Heeba Shah,Aditi Inamdar,Rahul Bose,Biography,Drama,Adventure
shootout-at-lokhandwala,29,18,A,25-May-07,145,Apoorva Lakhia,Shobha Kapoor,Amitabh Bachchan,Sanjay Dutt,Abhishek Bachchan,Action,Crime,Drama
fan-i,90,120,U/A,15-Apr-16,142,Maneesh Sharma,Aditya Chopra,Shah Rukh Khan,Jack Gover,Puja Panchkoty,Action,Adventure,Drama
welcome-i,70,48,U/A,20-Dec-07,161,Anees Bazmee,Firoz Nadiadwala,Anees Bazmee,Akshay Kumar,Katrina Kaif,Comedy,Crime,Drama
the-dirty-picture,79,31,A,2-Dec-11,144,Milan Luthria,Shobha Kapoor,Emraan Hashmi,Vidya Balan,Naseeruddin Shah,Biography,Comedy,Drama
jannat-in-search-of-heaven,68,12,U/A,16-May-08,140,Kunal Deshmukh,,Emraan Hashmi,Sonal Chauhan,Sameer Kochhar,Crime,Drama,Romance
shanghai,23,23,U/A,7-Jun-12,120,Dibakar Banerjee,Dibakar Banerjee,Emraan Hashmi,Prosenjit Chatterjee,Abhay Deol,Crime,Thriller,Mystery
yeh-jawaani-hai-deewani,177,75,U/A,31-May-13,161,Ayan Mukherjee,Karan Johar,Deepika Padukone,Ranbir Kapoor,Madhuri Dixit,Comedy,Drama,Musical
shor-in-the-city,4,7,U/A,29-Apr-11,112,Raj Nidimoru,Ekta Kapoor,Krishna D.k.,Krishna Dk,Radhika Apte,Crime,Drama,Romance
war1,475,150,U/A,2-Oct-19,156,Siddharth Anand,Aditya Chopra,Tiger Shroff,Vaani Kapoor,Hrithik Roshan,Action,Thriller,Musical
pataakha,7,19,U/A,27-Sep-18,136,Vishal Bhardwaj,Ajay Kapoor,Sanya Malhotra,Mrunal Thakur,Namit Das,Action,Comedy,Drama
omerta,3,12,A,4-May-18,96,Hansal Mehta,Nahid Khan,Rajkummar Rao,Rupinder Nagra,Sanjiv Chopra,Action,Drama,Crime
talaash,0.06,1,U/A,30-Nov-12,141,Reema Kagti,Aamir Khan,Aamir Khan,Rani Mukerji,Kareena Kapoor Khan,Crime,Drama,Mystery
no-smoking,2,7,A,26-Oct-07,127,Anurag Kashyap,Vishal Bhardwaj,John Abraham,Bipasha Basu,Ayesha Takia,Drama,Fantasy,Mystery
nh10,32,8,A,12-Mar-15,115,Navdeep Singh,,Anushka Sharma,Ravi Beniwal,Siddharth Bharadwaj,Crime,Drama,Horror
ittefaq2,27,29,U/A,2-Nov-17,105,Abhay Chopra,Shah Rukh Khan,Sidharth Malhotra,Sonakshi Sinha,Akshaye Khanna,Mystery,Thriller,Crime
taal,21,15,U,13-Aug-99,185,Subhash Ghai,Subhash Ghai,Aishwarya Rai Bachchan,Shahid Kapoor,Akshaye Khanna,Musical,Romance,Drama
fashion,26,20,A,29-Oct-08,167,Madhur Bhandarkar,Ronnie Screwvala,Kangana Ranaut,Priyanka Chopra,Mugdha Godse,Drama,Romance,Film-noir
mujhse-shaadi-karogi,29,19,U/A,30-Jul-04,156,David Dhawan,Sajid Nadiadwala,Akshay Kumar,Priyanka Chopra,Salman Khan,Comedy,Romance,Drama
phir-hera-pheri,40,18,U,9-Jun-06,162,Neeraj Vora,Firoz Nadiadwala,Akshay Kumar,Nana Patekar,Tabu Hashmi,Comedy,Crime,NA
dil-dhadakne-do,75,83,U/A,4-Jun-15,170,Zoya Akhtar,Farhan Akhtar,Anushka Sharma,Ranveer Singh,Aamir Khan,Drama,Family,Romance
kya-dilli-kya-lahore,0.66,5,U/A,2-May-14,98,Vijay Raaz,Karan Arora,Karan Arora,Manu Rishi Chadha,Raj Zutshi,Drama,History,War
singham,98,41,U/A,22-Jul-11,144,Rohit Shetty,,Kajal Aggarwal,Ajay Devgan,Prakash Raj,Action,Crime,Drama
dhoom,31,11,U/A,27-Aug-04,129,Sanjay Gadhvi,Aditya Chopra,Abhishek Bachchan,Uday Chopra,John Abraham,Action,Crime,Thriller
raees,128,127,U/A,25-Jan-17,143,Rahul Dholakia,Gauri Khan,Shah Rukh Khan,Shubham Chintamani,Shubham Tukaram,Action,Crime,Drama
sui-dhaaga-made-in-india,125,48,U,28-Sep-18,122,Sharat Katariya,Aditya Chopra,Anushka Sharma,Varun Dhawan,Siddharth Bharadwaj,Comedy,Drama,Family
saathiya,15,7,U,20-Dec-02,143,Shaad Ali,Bharat S Shah,Rani Mukerji,Tabu Hashmi,Shah Rukh Khan,Drama,Family,Romance
main-hoon-na,0.21,5,U/A,30-Apr-04,182,Farah Khan,Shah Rukh Khan,Tabu Hashmi,Shah Rukh Khan,Naseeruddin Shah,Action,Comedy,Crime
margarita-with-a-straw,5,6,A,17-Apr-15,100,Shonali Bose,Shonali Bose,Nilesh Maniyar,Kalki Koechlin,Tenzing Dalha,Drama,NA,NA
krrish,72,40,U,23-Jun-06,176,Rakesh Roshan,Rakesh Roshan,Hrithik Roshan,Priyanka Chopra,Preity Zinta,Action,Adventure,Romance
waqt-the-race-against-time,42,16,U,22-Apr-05,154,Vipul Amrutlal Shah,Manmohan Shetty,Akshay Kumar,Priyanka Chopra,Amitabh Bachchan,Comedy,Drama,Musical
hawaa-hawaai,8,11,U,9-May-14,120,Amole Gupte,Amole Gupte,Partho A. Gupte,Devraya Gole,Neha Joshi,Drama,Family,Sport
karthik-calling-karthik,18,20,U/A,26-Feb-10,135,Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Farhan Akhtar,Siddhartha Gupta,Drama,Romance,Thriller
qarib-qarib-singlle,16,17,U/A,9-Nov-17,125,Tanuja Chandra,Sutapa Sikdar,Parvathi Menon,Irrfan Khan,Siddharth Menon,Comedy,Romance,Drama
dhobi-ghat,13,13,A,21-Jan-11,100,Kiran Rao,Aamir Khan,Kiran Rao,Aamir Khan,Rehan Khan,Drama,NA,NA
wazir-i,40,36,U/A,8-Jan-16,103,Bejoy Nambiar,Vidhu Vinod Chopra,John Abraham,Amitabh Bachchan,Farhan Akhtar,Action,Crime,Drama
blackmail1,19,20,U/A,5-Apr-18,139,Abhinay Deo,Bhushan Kumar,Irrfan Khan,Kirti Kulhari,Omi Vaidya,Action,Comedy,Thriller
dedh-ishqiya,25,37,U/A,9-Jan-14,152,Abhishek Chaubey,Vishal Bhardwaj,Madhuri Dixit,Naseeruddin Shah,Salman Shahid,Comedy,Drama,Romance
love-sex-aur-dhokha,8,4,A,19-Mar-10,113,Dibakar Banerjee,Ekta Kapoor,Nushrat Bharucha,Neha Chauhan,Rajkummar Rao,Comedy,Crime,Drama
table-no21,11,8,A,4-Jan-13,108,Aditya Datt,Sunil Lulla,Rajeev Khandelwal,Dhruv Ganesh,Hanif Hilal,Adventure,Thriller,Drama
jab-tak-hai-jaan,101,78,U/A,13-Nov-12,179,Yash Chopra,Aditya Chopra,Anushka Sharma,Katrina Kaif,Shah Rukh Khan,Drama,Family,Romance
dhoom2,151,35,U/A,24-Nov-06,152,Sanjay Gadhvi,Aditya Chopra,Aishwarya Rai Bachchan,Hrithik Roshan,Bipasha Basu,Action,Crime,Thriller
race-i,60,46,A,20-Mar-08,154,Abbas Mustan,Ramesh Taurani,Saif Ali Khan,Akshaye Khanna,Katrina Kaif,Action,Drama,Crime
mary-kom,61,38,U,5-Sep-14,124,Omung Kumar,Sanjay Leela Bhansali,Priyanka Chopra,Robin Das,Shiva Dagar,Biography,Drama,Sport
sarkar-raj,34,27,U/A,5-Jun-08,125,Ram Gopal Varma,Ram Gopal Varma,Aishwarya Rai Bachchan,Amitabh Bachchan,Abhishek Bachchan,Action,Crime,Drama
dabangg,141,41,U/A,10-Sep-10,125,Abhinav Singh Kashyap,Arbaaz Khan,Sonakshi Sinha,Salman Khan,Vinod Khanna,Action,Comedy,NA
khichdi-the-movie,5,4,U,1-Oct-10,120,Aatish Kapadia,Jamnadas Majethia,Nimisha Vakharia,Kirti Kulhari,J.d. Majethia,Comedy,Family,Romance
shubh-mangal-saavdhan,41,25,U/A,1-Sep-17,119,Rs Prasanna,Aanand L Rai,R.s. Prasanna,Bhumi Pednekar,Ayushmann Khurrana,Comedy,Romance,Drama
fukrey,34,19,U/A,13-Jun-13,137,Mrigdeep Singh Lamba,Farhan Akhtar,Priya Anand,Altaf,Richa Chadda,Comedy,Drama,Romance
baaghi2,76,37,A,1-Jan-01,162,Rajesh Kumar Singh,Ramesh J Sharma,Sanjay Dutt,Manisha Koirala,Sudhakar Manjrekar,Action,Crime,Romance
tanu-weds-manu,38,21,U/A,25-Feb-11,113,Aanand L. Rai,Shailesh R Singh,Aanand L Rai,Kangana Ranaut,R Madhavan,Comedy,Drama,Romance
jagga-jasoos,52,131,U/A,7-Apr-17,161,Anurag Basu,Ranbir Kapoor,Katrina Kaif,Ranbir Kapoor,Govinda,Action,Adventure,Comedy
well-done-abba1,3,6,U/A,26-Mar-10,144,Shyam Benegal,,Sonali Kulkarni,Sammir Dattani,Ila Arun,Comedy,Drama,NA
kahaani-2,32,33,U/A,1-Dec-16,129,Sujoy Ghosh,Sujoy Ghosh,Arjun Rampal,Vidya Balan,Biswajit Chakraborty,Mystery,Thriller,Drama
well-done-abba,25,10,U/A,26-Mar-10,144,Shyam Benegal,,Sonali Kulkarni,Sammir Dattani,Ila Arun,Comedy,Drama,NA
garam-masala,29,17,U,3-Nov-05,136,Priyadarshan Nair,Bharat S Shah,Akshay Kumar,John Abraham,Daisy Bopanna,Comedy,Drama,Romance
chandni-chowk-to-china,29,62,U/A,28-Jan-07,164,Vasu Oleti,Nallamalupu Bujji,Vasu Oleti,Anushka Shetty,Tottempudi Gopichand,Short,Drama,Action
hunterrr,12,9,A,20-Mar-15,141,Harshavardhan Kulkarni,Anurag Kashyap,Radhika Apte,Sagar Deshmukh,Gulshan Devaiah,Comedy,Romance,Drama
luck-by-chance,12,18,U,5-Feb-09,156,Zoya Akhtar,Farhan Akhtar,Aamir Khan,Rani Mukerji,Hrithik Roshan,Drama,NA,NA
tumhari-sulu,32,20,U,17-Nov-17,140,Suresh Triveni,Bhushan Kumar,Vidya Balan,Ayushmann Khurrana,Priyanka Mehta,Comedy,Drama,NA
dil-dosti-etc,2,3,A,28-Sep-07,112,Manish Tiwary,Manmohan Shetty,Smriti Mishra,Imaaduddin Shah,Shreyas Talpade,Comedy,Crime,Drama
hulchul3,5,4,U,26-Nov-04,160,Priyadarshan Nair,Bharat S Shah,Akshaye Khanna,Kareena Kapoor Khan,Jackie Shroff,Action,Comedy,Drama
wanted1,60,52,A,18-Sep-09,155,Prabhu Dheva,Boney Kapoor,Arjun Kapoor,Salman Khan,Govinda,Action,Crime,Thriller
raaz1,122,38,A,12-Mar-02,152,Vikram Bhatt,,Bipasha Basu,Malini Sharma,Dino Morea,Drama,Horror,Musical
gandhi-my-father,3,8,U,27-Jul-07,134,Feroz Abbas Khan,,Bhoomika Chawla,Akshaye Khanna,Ilanit Shapiro,Biography,Drama,History
traffic-i,3,9,U/A,6-May-16,104,Rajesh Pillai,Deepak Dhariwal,Parambrata Chatterjee,Prosenjit Chatterjee,Jimmy Shergill,Adventure,Drama,Thriller
de-de-pyaar-de,94,78,U/A,16-May-19,135,Akiv Ali,Bhushan Kumar,Ajay Devgan,Tabu Hashmi,Jimmy Shergill,Comedy,Romance,NA
chittagong,0.35,5,U,12-Oct-12,105,Bedabrata Pain,Anurag Kashyap,Barry John,Manoj Bajpayee,Rajkummar Rao,Action,Drama,War
mission-mangal,192,95,U,15-Aug-19,135,Jagan Shakti,Akshay Kumar,Sharman Joshi,Akshay Kumar,Nithya Menen,Drama,Sci-fi,History
bunty-aur-babli,36,12,U/A,27-May-05,170,Shaad Ali,Aditya Chopra,Aishwarya Rai Bachchan,Rani Mukerji,Amitabh Bachchan,Comedy,Drama,Romance
bluffmaster,31,8,U/A,16-Dec-05,141,Rohan Sippy,Manmohan Shetty,Priyanka Chopra,Nana Patekar,Abhishek Bachchan,Comedy,Romance,Thriller
kedarnath1,70,68,U/A,7-Dec-18,120,Abhishek Kapoor,Ronnie Screwvala,Sushant Singh Rajput,Nishant Dahiya,Nitish Bharadwaj,Adventure,Drama,Fantasy
ek-villain,97,39,U/A,27-Jun-14,129,Mohit Suri,Shobha Kapoor,Sidharth Malhotra,Shraddha Kapoor,Riteish Deshmukh,Action,Crime,Drama
waiting,2,6,A,27-May-16,92,Anu Menon,Manish Mundra,Naseeruddin Shah,Kalki Koechlin,Jennifer Antony,Drama,Comedy,NA
welcome-to-sajjanpur,9,9,U/A,19-Sep-08,133,Shyam Benegal,Ronnie Screwvala,Kunal Kapoor,Amrita Rao,Lalit Mohan Tiwari,Comedy,Drama,NA
ujda-chaman,10,18,U/A,1-Nov-19,135,Abhishek Pathak,Kumar Mangat,Sunny Singh Nijjar,Sharib Hashmi,Manoj Bakshi,Comedy,NA,NA
mulk,21,19,U/A,3-Aug-18,140,Anubhav Sinha,Anubhav Sinha,Rishi Kapoor,Indraneil Sengupta,Taapsee Pannu,Drama,Romance,NA
mujhse-fraaandship-karoge,4,9,U/A,14-Oct-11,106,Nupur Asthana,Ashish Patil,Saba Azad,Saqib Saleem,Tara D'souza,Comedy,Romance,Drama
manmarziyaan,40,30,U/A,14-Sep-18,157,Anurag Kashyap,Aanand L Rai,Abhishek Bachchan,Taapsee Pannu,Vicky Kaushal,Drama,Romance,NA
chennai-express,207,115,U/A,8-Aug-13,142,Rohit Shetty,Gauri Khan,Deepika Padukone,Shah Rukh Khan,Priyamani,Action,Adventure,Comedy
dostana,44,40,U/A,13-Nov-08,143,Tarun Mansukhani,Karan Johar,Priyanka Chopra,John Abraham,Abhishek Bachchan,Comedy,Drama,Romance
kaante,20,30,A,20-Dec-02,154,Sanjay Gupta,Bharat S Shah,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Action,Crime,Drama
kabhi-alvida-naa-kehna,112,50,U/A,11-Aug-06,192,Karan Johar,Hiroo Johar,Arjun Rampal,Rani Mukerji,John Abraham,Drama,Romance,Family
fukrey-returns,77,29,U/A,7-Dec-17,141,Mrigdeep Singh Lamba,Farhan Akhtar,Mrighdeep Lamba,Priya Anand,Richa Chadda,Comedy,Drama,Romance
happy-bhag-jayegi,76,20,U,19-Aug-16,126,Mudassar Aziz,Krishika Lulla,Jimmy Shergill,Abhay Deol,Diana Penty,Comedy,Romance,NA
rann,8,21,U/A,29-Jan-10,132,Ram Gopal Varma,Madhu Mantena Varma,Amitabh Bachchan,Riteish Deshmukh,Gul Panag,Drama,Mystery,Thriller
manikarnika-the-queen-of-jhansi,132,99,U/A,24-Jan-19,148,Kangana Ranaut,Kamal Jain,Radhakrishna Jagarlamudi,Kangana Ranaut,Manish Wadhwa,Drama,History,Biography
ajab-prem-ki-ghazab-kahani,62,44,U,6-Nov-09,151,Rajkumar Santoshi,Ramesh Sadhuram Taurani,Katrina Kaif,Ranbir Kapoor,Salman Khan,Comedy,Family,Musical
ishaqzaade,46,19,U/A,11-May-12,133,Habib Faisal,Aditya Chopra,Arjun Kapoor,Parineeti Chopra,Charu Rastogi,Action,Drama,Romance
rustom,124,73,U/A,11-Aug-16,150,Dharmendra Suresh Desai,Aruna Bhatia,Tinu Suresh Desai,Ileana D'cruz,Akshay Kumar,Action,Crime,Drama
new-york,45,28,U/A,26-Jun-09,153,Kabir Khan,Aditya Chopra,Katrina Kaif,John Abraham,Irrfan Khan,Crime,Drama,Romance
badrinath-ki-dulhania,114,44,U/A,9-Mar-17,139,Shashank Khaitan,Karan Johar,Varun Dhawan,Alia Bhatt,Shweta Prasad,Comedy,Drama,Romance
katiyabaaz,0.14,1,A,1-Apr-13,84,Deepti Kakkar,Deepti Kakkar,Fahad Mustafa,Ritu Maheshwari,Loha Singh,Documentary,Drama,NA
kabul-express,11,12,U/A,15-Dec-06,105,Kabir Khan,Aditya Chopra,John Abraham,Hanif Hum Ghum,Salman Shahid,Adventure,Drama,Thriller
chalo-dilli,9,9,U,29-Apr-11,155,Shashant A Shah,Krishika Lulla,Shashant Shah,Akshay Kumar,Lara Dutta,Comedy,Drama,NA
panga,22,49,U,24-Jan-20,135,Ashwini Iyer Tiwari,,Kangana Ranaut,Jassie Gill,Richa Chadda,Drama,Romance,Sport
chakravyuh,17,30,U/A,24-Oct-12,152,Prakash Jha,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,Drama,Thriller,War
saheb-biwi-aur-gangster-returns,21,19,U/A,7-Mar-13,136,Tigmanshu Dhulia,Tigmanshu Dhulia,Irrfan Khan,Jimmy Shergill,Hemendra Dandotiya,Action,Crime,Drama
hasee-toh-phasee,36,26,U/A,7-Feb-14,141,Vinil Mathew,Anurag Kashyap,Sidharth Malhotra,Aariyan Gupta,Adah Sharma,Comedy,Romance,Romantic comedy
chup-chup-ke,13,12,U,9-Jun-06,164,Priyadarshan Nair,Ronnie Screwvala,Kookie V. Gulati,Kookie V Gulati,Shahid Kapoor,Comedy,Drama,Romance
cheeni-kum,17,11,U/A,25-May-07,129,R. Balki,Rajesh Rajilal,Amitabh Bachchan,Tabu Hashmi,Paresh Rawal,Comedy,Romance,Romantic comedy
rocky-handsome,22,43,U/A,25-Mar-16,126,Nishikant Kamat,John Abraham,John Abraham,Shruti Haasan,Sharad Kelkar,Action,Adventure,Crime
road-to-sangam,0.06,3,U,29-Jan-10,142,Amit Rai,Amit Chheda,Swati Chitnis,Pavan Malhotra,Paresh Rawal,Drama,Thriller,NA
shagird,1,12,U/A,13-May-11,128,Tigmanshu Dhulia,Hussain Shaikh,Nana Patekar,Mohit Ahlawat,Rimi Sen,Action,Crime,Drama
cocktail,74,53,U,13-Jul-12,130,Homi Adajania,Saif Ali Khan,Deepika Padukone,Saif Ali Khan,Randeep Hooda,Comedy,Drama,Romance
notebook1,4,19,U,29-Mar-19,135,Nitin Kakkar,Salman Khan,Farzana,Mir Sarwar,Umesh Pawar,Romance,Drama,NA
luka-chuppi,88,34,U/A,1-Mar-19,126,Laxman Utekar,Dinesh Vijan,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,Drama,Comedy,Romance
ae-dil-hai-mushkil,106,98,U/A,28-Oct-16,157,Karan Johar,Karan Johar,Anushka Sharma,Aishwarya Rai Bachchan,Fawad Afzal Khan,Biography,Drama,Musical
hanuman,5,3,U,21-Oct-05,137,Milind Ukey,,V.g. Samant,Vg Samant,Manish Wadhwa,Animation,Drama,NA
the-attacks-of-2611,15,23,U/A,7-Mar-13,116,Ram Gopal Varma,,Nana Patekar,Ferzad Jehani,Jitendra Joshi,Documentary,Action,Crime
second-marriage-dot-com,0.06,2,A,20-Aug-12,134,Gaurav Panjwani,,Subhash Ahuja,Syna Anand,Raman Atre,Drama,NA,NA
maruti-mera-dosst,0.29,2,U,5-Jun-09,130,Manikya Raju,Abhimanyu Singh,Erik A. Nanda,Ritika Shah,Sameksha,Animation,Adventure,Drama
bombay-talkies,9,12,U/A,3-May-13,127,Anurag Kashyap,,Karan Johar,Zoya Akhtar,Dibakar Banerjee,Drama,Romance,NA
pyaar-ke-side-effects,8,6,A,15-Sep-06,132,Saket Chaudhary,Pritish Nandy,Rahul Bose,Mallika Sherawat,Jas Arora,Comedy,Drama,Romance
msg-the-messenger,8,30,U,18-Sep-15,197,Jeetu Arora,Gurmeet Ram Rahim Singh Ji Insan,Gurmeet Ram Rahim Singh Ji Insan,Flora Saini,Gaurav Gera,Drama,Thriller,NA
hamari-adhuri-kahani,32,40,U,11-Jun-15,131,Mohit Suri,Mukesh Bhatt,Emraan Hashmi,Vidya Balan,Rajkummar Rao,Drama,Romance,NA
bhoothnath-returns,33,36,U,11-Apr-14,155,Nitesh Tiwari,Bhushan Kumar,Ranbir Kapoor,Amitabh Bachchan,Shah Rukh Khan,Comedy,Drama,Fantasy
sadda-adda,0.34,2,U/A,13-Jan-12,130,Muazzam Beg,Rajeev R Agarwal,Karan Sharma,Kadambari Jethwani,Rohin Robert,Comedy,Drama,Romance
babumoshai-bandookbaaz,9,10,A,25-Aug-17,122,Kushan Nandy,Ashmith Kunder,Bidita Bag,Shraddha Das,Nawazuddin Siddiqui,Action,Crime,Thriller
club-60,0.32,5,U,6-Dec-13,137,Sanjay Tripathy,Bharat S Shah,Farooq Shaikh,Raghuvir Yadav,Tinnu Anand,Drama,NA,NA
shivaay,84,103,U/A,27-Oct-16,153,Ajay Devgan,Ajay Devgan,Ajay Devgan,Erika Kaar,Girish Karnad,Action,Adventure,Drama
aashayein,2,18,U/A,27-Aug-10,120,Nagesh Kukunoor,Nagesh Kukunoor,John Abraham,Girish Karnad,Shreyas Talpade,Comedy,Drama,NA
bhoothnath,23,20,U,9-May-08,125,Vivek Sharma,Br Chopra,Amitabh Bachchan,Shah Rukh Khan,Juhi Chawla,Comedy,Drama,Family
bachna-ae-haseeno,36,23,U/A,14-Aug-08,152,Siddharth Anand,Aditya Chopra,Deepika Padukone,Ranbir Kapoor,Bipasha Basu,Comedy,Drama,Romance
salaam-namaste,26,11,U/A,9-Sep-05,158,Siddharth Anand,Aditya Chopra,Saif Ali Khan,Abhishek Bachchan,Preity Zinta,Comedy,Drama,Romance
aarakshan,41,53,U,17-Aug-11,155,Prakash Jha,Firoz Nadiadwala,Deepika Padukone,Saif Ali Khan,Amitabh Bachchan,Drama,Thriller,NA
jannat-2,42,20,A,4-May-12,138,Kunal Deshmukh,Mukesh Bhatt,Emraan Hashmi,Randeep Hooda,Esha Gupta,Crime,Drama,Thriller
brothers-i,70,112,U/A,13-Aug-15,158,Karan Malhotra,Karan Johar,Sidharth Malhotra,Akshay Kumar,Kareena Kapoor Khan,Action,Drama,Sport
luv-shuv-tey-chicken-khurana,6,11,U,2-Nov-12,135,Sameer Sharma,Anurag Kashyap,Rahul Bagga,Nimrat Kaur,Huma Qureshi,Comedy,NA,NA
baazaar1,25,34,U/A,26-Oct-18,140,Gauravv K Chawla,Monisha Advani,Saif Ali Khan,Radhika Apte,Chitrangda Singh,Crime,Drama,Thriller
go-goa-gone,24,19,A,10-May-13,108,Raj Nidimoru,Sunil Lulla,Krishna D.k.,Krishna Dk,Saif Ali Khan,Action,Adventure,Comedy
pari,27,21,A,2-Mar-18,137,Prosit Roy,Anushka Sharma,Anushka Sharma,Parambrata Chatterjee,Ritabhari Chakraborty,Horror,Mystery,Fantasy
romeo-akbar-walter,38,48,U/A,4-Apr-19,145,Robby Grewal,Ajay Kapoor,John Abraham,Abhishek Bachchan,Jackie Shroff,Thriller,Action,Drama
mann,16,14,U/A,22-Jun-99,175,Indra Kumar,Bharat S Shah,Aamir Khan,Rani Mukerji,Anil Kapoor,Drama,Romance,Family
kites-i,47,82,U/A,21-May-10,127,Anurag Basu,Rakesh Roshan,Kangana Ranaut,Hrithik Roshan,Barbara Mori,Action,Drama,Romance
gattu,0.13,2,U,30-Nov-12,90,Rajan Khosa,Shravan Kumar H,Naresh Sharma,Jayanta Das,Ranjit Singh,Drama,NA,NA
tiger-zinda-hai1,339,210,U/A,22-Dec-17,161,Ali Abbas Zafar,Aditya Chopra,Katrina Kaif,Salman Khan,Neha Hinge,Action,Adventure,Thriller
dum-maaro-dum,31,31,U/A,22-Apr-11,125,Rohan Sippy,Ramesh Sippy,Deepika Padukone,Vidya Balan,Bipasha Basu,Action,Crime,Drama
soldier-ii,21,8,U/A,12-Oct-98,163,Abbas Alibhai Burmawalla,Ramesh Sadhuram Taurani,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Action,Drama,Musical
maharathi,2,9,U,5-Dec-08,114,Shivam Nair,Dhilin Mehta,Naseeruddin Shah,Boman Irani,Tara Sharma,Crime,Drama,Mystery
running-shaadi,0.96,8,U/A,16-Feb-17,114,Amit Roy,Shoojit Sircar,Arsh Bajwa,Richa Meena,Taapsee Pannu,Comedy,Romance,Romantic comedy
heyy-babyy,47,36,U,24-Aug-07,128,Sajid Khan,Sajid Nadiadwala,Akshay Kumar,Vidya Balan,Shah Rukh Khan,Comedy,Drama,Romance
shamitabh,21,49,U/A,5-Feb-15,153,R. Balki,Sunil Lulla,R. Balki,Amitabh Bachchan,Dhanush,Comedy,Drama,Thriller
humpty-sharma-ki-dulhania,72,33,U/A,11-Jul-14,134,Shashank Khaitan,Karan Johar,Varun Dhawan,Alia Bhatt,Jaswant Daman,Comedy,Drama,Romance
soundtrack-i,0.62,5,A,7-Oct-11,132,Neerav Ghosh,Apurv Nagpal,Rajeev Khandelwal,Soha Ali Khan,Saini S. Johray,Drama,Musical,NA
pihu,3,4,U,16-Nov-18,122,Vinod Kapri,Ronnie Screwvala,Rahul Bagga,Hrishita Bhatt,Myra Vishwakarma,Drama,Thriller,NA
dus,23,22,U/A,8-Jul-05,152,Anubhav Sinha,Nitin Manmohan,Sanjay Dutt,Abhishek Bachchan,Sunil Shetty,Action,Crime,Drama
dev,6,8,A,11-Jun-04,172,Govind Nihalani,Manmohan Shetty,Amitabh Bachchan,Kareena Kapoor Khan,Fardeen Khan,Drama,NA,NA
asoka,11,12,U/A,26-Oct-01,183,Santosh Sivan,Shah Rukh Khan,Ajith Kumar,Kareena Kapoor Khan,Shah Rukh Khan,Action,Biography,Drama
bhoot,0.06,0.25,A,30-May-03,113,Ram Gopal Varma,Nitin Manmohan,Ajay Devgan,Nana Patekar,Rekha Ganesan,Horror,Thriller,Mystery
mohalla-assi,2,10,A,16-Nov-18,120,Chandraprakash Dwivedi,Vinay Tiwari,Sunny Deol,Ravi Kishan Shukla,Sakshi Tanwar,Comedy,Drama,NA
aurangzeb,22,22,U/A,16-May-13,135,Atul Sabharwal,Aditya Chopra,Prithviraj Sukumaran,Arjun Kapoor,Rishi Kapoor,Action,Drama,Thriller
aashiqui,0.04,2,U/A,23-Jul-90,152,Mahesh Bhatt,Gulshan Kumar,Anu Agrawal,Rahul Roy,Deepak Tijori,Musical,Drama,Romance
satyagraha-i,55,73,U/A,30-Aug-13,152,Prakash Jha,Ronnie Screwvala,Arjun Rampal,Ajay Devgan,Amitabh Bachchan,Drama,NA,NA
ki-ka,102,20,U/A,1-Apr-16,126,R. Balki,,Amitabh Bachchan,Arjun Kapoor,Kareena Kapoor Khan,Comedy,Romance,NA
return-of-hanuman,1,16,U,28-Dec-07,103,Anurag Kashyap,,Raj Singh Jhinger,Malak Shah,Pinky Rajput,Animation,Action,Adventure
raone,113,130,U/A,26-Oct-11,156,Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Priyanka Chopra,Rajinikanth,Action,Adventure,Fantasy
simmba,239,139,U/A,28-Dec-18,159,Rohit Shetty,Rohit Shetty,Ranveer Singh,Akshay Kumar,Ajay Devgan,Action,Comedy,Drama
